"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2021-08-11",,,,,,,"0.50",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2021-08-19",,,,,,,"0.30",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2021-08-23",,,"    3",",,N","5.10",",,N",,,,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2021-08-27",,,,,,,"0.61",",,N",,,,,,,,,,,,,,,,
"US1NJBG0010","RIVER VALE TWP 1.5 S, NJ US","40.99145","-74.012348","9.4","2021-08-28",,,,,,,"0.69",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-01",,,,,,,"0.08",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-02",,,,,,,"0.39",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-03",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-04",,,,,,,"0.24",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-05",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-06",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-07",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-08",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-09",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-10",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-11",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-12",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-13",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-14",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-15",,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,
"US1NYWC0034","THORNWOOD 0.7 NW, NY US","41.120326","-73.776146","110.9","2021-01-16",,,,,,,"1.05",",,N",,,,,,,,,,,,,,,,
